geography,indicator_id,note,provisional,publisher,rate_per_100k,source_id,tier,unit,value,workstream,year
US,drug_overdose_deaths,"Age-adjusted rate 8.2 per 100,000.",False,CDC/NCHS,8.2,hs103,A,drug overdose deaths (final),23518,W2,2002
US,drug_overdose_deaths,"Age-adjusted rate 8.9 per 100,000.",False,CDC/NCHS,8.9,hs103,A,drug overdose deaths (final),25785,W2,2003
US,drug_overdose_deaths,"Age-adjusted rate 9.4 per 100,000.",False,CDC/NCHS,9.4,hs103,A,drug overdose deaths (final),27424,W2,2004
US,drug_overdose_deaths,"Age-adjusted rate 10.1 per 100,000.",False,CDC/NCHS,10.1,hs103,A,drug overdose deaths (final),29813,W2,2005
US,drug_overdose_deaths,"Age-adjusted rate 11.5 per 100,000.",False,CDC/NCHS,11.5,hs103,A,drug overdose deaths (final),34425,W2,2006
US,drug_overdose_deaths,"Age-adjusted rate 11.9 per 100,000.",False,CDC/NCHS,11.9,hs103,A,drug overdose deaths (final),36010,W2,2007
US,drug_overdose_deaths,"Age-adjusted rate 11.9 per 100,000.",False,CDC/NCHS,11.9,hs103,A,drug overdose deaths (final),36450,W2,2008
US,drug_overdose_deaths,"Age-adjusted rate 11.9 per 100,000.",False,CDC/NCHS,11.9,hs103,A,drug overdose deaths (final),37004,W2,2009
US,drug_overdose_deaths,"Prescription-opioid era; the synthetic-opioid rise has not yet begun. Age-adjusted rate 12.3 per 100,000.",False,CDC/NCHS,12.3,hs103,A,drug overdose deaths (final),38329,W2,2010
US,drug_overdose_deaths,"Age-adjusted rate 13.2 per 100,000.",False,CDC/NCHS,13.2,hs103,A,drug overdose deaths (final),41340,W2,2011
US,drug_overdose_deaths,"Age-adjusted rate 13.1 per 100,000.",False,CDC/NCHS,13.1,hs103,A,drug overdose deaths (final),41502,W2,2012
US,drug_overdose_deaths,"Conventionally dated start of the synthetic-opioid (fentanyl) wave. Age-adjusted rate 13.8 per 100,000.",False,CDC/NCHS,13.8,hs103,A,drug overdose deaths (final),43982,W2,2013
US,drug_overdose_deaths,"Age-adjusted rate 14.7 per 100,000.",False,CDC/NCHS,14.7,hs103,A,drug overdose deaths (final),47055,W2,2014
US,drug_overdose_deaths,"Age-adjusted rate 16.3 per 100,000.",False,CDC/NCHS,16.3,hs103,A,drug overdose deaths (final),52404,W2,2015
US,drug_overdose_deaths,"First year of the steep synthetic-opioid acceleration: +21.5% on 2015. Age-adjusted rate 19.8 per 100,000.",False,CDC/NCHS,19.8,hs103,A,drug overdose deaths (final),63632,W2,2016
US,drug_overdose_deaths,"Age-adjusted rate 21.7 per 100,000.",False,CDC/NCHS,21.7,hs103,A,drug overdose deaths (final),70237,W2,2017
US,drug_overdose_deaths,"Age-adjusted rate 20.7 per 100,000.",False,CDC/NCHS,20.7,hs103,A,drug overdose deaths (final),67367,W2,2018
US,drug_overdose_deaths,"Pre-pandemic baseline. Age-adjusted rate 21.6 per 100,000.",False,CDC/NCHS,21.6,hs103,A,drug overdose deaths (final),70630,W2,2019
US,drug_overdose_deaths,"+30.0% on 2019, the largest single-year rise in the series. Age-adjusted rate 28.3 per 100,000.",False,CDC/NCHS,28.3,hs103,A,drug overdose deaths (final),91799,W2,2020
US,drug_overdose_deaths,"Age-adjusted rate 32.4 per 100,000.",False,CDC/NCHS,32.4,hs104,A,drug overdose deaths (final),106699,W2,2021
US,drug_overdose_deaths,"Peak year of the series. Age-adjusted rate 32.6 per 100,000. Age-adjusted rate 32.6 per 100,000.",False,CDC/NCHS,32.6,hs104,A,drug overdose deaths (final),107941,W2,2022
US,drug_overdose_deaths,"First annual decline since 2018. Age-adjusted rate 31.3 per 100,000.",False,CDC/NCHS,31.3,hs104,A,drug overdose deaths (final),105007,W2,2023
US,drug_overdose_deaths,"Final. -26.2% on 2023 — the largest percentage drop across 2014-2024. Age-adjusted rate 23.1 per 100,000.",False,CDC/NCHS,23.1,hs055,A,drug overdose deaths (final),79384,W2,2024
US,drug_overdose_deaths_provisional,Provisional; incomplete and subject to upward revision. Third consecutive annual decline. See the data-quality register on comparing this with 2024.,True,CDC/NCHS,,hs057,A,drug overdose deaths (provisional),69973,W2,2025
